@relation donem_ornek

@attribute DonemTipi {Gunluk,Aylik,Yillik}
@attribute Ay {Ocak,Subat,Mart,Nisan,Mayis,Haziran,Temmuz,Agustos,Eylul,Ekim,Kasim,Aralik}
@attribute Yas numeric
@attribute Class {A,B,C}

@data
Yillik,Nisan,66,C
Yillik,Temmuz,43,C
Yillik,Mart,37,C
Yillik,Mart,20,C
Gunluk,Ocak,44,C
Yillik,Ocak,38,C
Aylik,Haziran,18,C
Aylik,Mart,31,B
Yillik,Ekim,48,C
Aylik,Agustos,64,C
Aylik,Ocak,48,B
Yillik,Haziran,45,C
Gunluk,Subat,31,C
Gunluk,Aralik,33,C
Yillik,Subat,43,C
Gunluk,Agustos,53,C
Aylik,Agustos,61,C
Yillik,Mart,24,C
Yillik,Kasim,31,C
Aylik,Ekim,21,C
Aylik,Aralik,20,C
Aylik,Mart,62,C
Yillik,Agustos,43,C
Gunluk,Kasim,19,A
Aylik,Subat,41,B
Yillik,Mart,28,C
Yillik,Ekim,18,C
Aylik,Aralik,60,C
Aylik,Ekim,27,C
Gunluk,Mart,47,C
Gunluk,Ocak,41,C
Gunluk,Aralik,41,C
Gunluk,Ocak,44,C
Aylik,Temmuz,58,C
Gunluk,Subat,51,C
Aylik,Ekim,64,C
Aylik,Mart,64,C
Aylik,Ekim,19,C
Gunluk,Temmuz,24,A
Aylik,Mart,47,B
Gunluk,Ocak,26,A
Aylik,Eylul,50,C
Aylik,Nisan,51,C
Aylik,Mayis,40,B
Aylik,Mayis,40,B
Yillik,Ekim,60,C
Yillik,Subat,41,C
Yillik,Subat,41,C
Yillik,Aralik,46,C
Yillik,Agustos,59,C
Aylik,Aralik,39,B
Gunluk,Subat,67,C
Yillik,Aralik,60,C
Gunluk,Mayis,64,C
Yillik,Mart,33,C
Gunluk,Mart,47,C
Yillik,Agustos,42,C
Yillik,Ekim,26,C
Aylik,Ekim,30,B
Gunluk,Subat,60,C
Yillik,Subat,28,C
Aylik,Temmuz,53,C
Gunluk,Ekim,60,C
Gunluk,Mart,61,C
Yillik,Kasim,34,C
Yillik,Haziran,61,C
Aylik,Temmuz,27,C
Yillik,Temmuz,56,C
Yillik,Subat,40,C
Aylik,Kasim,48,B
Gunluk,Subat,56,C
Aylik,Kasim,23,C
Yillik,Aralik,51,C
Aylik,Aralik,49,B
Aylik,Aralik,41,B
Yillik,Mayis,61,C
Aylik,Agustos,23,C
Aylik,Kasim,65,C
Gunluk,Nisan,55,C
Gunluk,Haziran,58,C
Gunluk,Temmuz,49,C
Aylik,Ocak,39,B
Aylik,Aralik,48,B
Aylik,Ekim,63,C
Yillik,Ekim,21,C
Gunluk,Aralik,27,A
Gunluk,Agustos,26,A
Gunluk,Ocak,34,C
Aylik,Agustos,33,B
Yillik,Nisan,24,C
Yillik,Ocak,56,C
Aylik,Mart,27,C
Gunluk,Kasim,61,C
